job,cpu_seconds,W,L1,F,Linf,Nmax
V1-05-PCesc,1277.8156450000001,2145,2452,3080,3,7
V1-05-PCesc,1278.243417,2144,2456,3096,3,8
V1-05-PCesc,1361.051176,2141,2480,3188,4,1
V1-05-PCesc,2028.583332,2137,2478,3192,3,16
V1-05-PCesc,2029.06877,2136,2480,3200,3,16
V1-05-PCesc,2401.320171,2135,2492,3240,3,17
V1-05-PCesc,2401.789259,2134,2486,3220,3,15
V1-05-PCesc,3341.1628079999996,2132,2492,3248,3,18
V1-06-P,0.0,2180,2398,2840,3,3
V1-06-P,67.841943,2179,2408,2872,3,3
V1-06-P,68.372965,2177,2416,2904,3,5
V1-06-P,68.795718,2176,2406,2876,3,5
V1-06-P,69.230808,2174,2424,2940,3,8
V1-06-P,69.651674,2173,2434,2972,3,8
V1-06-P,70.1092,2171,2442,3000,3,8
V1-06-P,70.631378,2167,2436,2988,3,7
V1-06-P,71.097955,2163,2416,2932,3,5
V1-06-P,71.555296,2162,2406,2904,3,5
V1-06-P,130.666818,2159,2404,2900,3,3
V1-06-P,131.093708,2156,2416,2948,3,6
V1-06-P,131.504387,2155,2416,2948,3,5
V1-06-P,1211.56385,2154,2424,2976,3,6
V1-06-P,1212.107876,2153,2430,3000,3,8
V1-06-P,2771.127034,2150,2458,3092,3,9
V1-06-P,3137.932225,2150,2452,3080,3,12
V1-06-P,3541.849861,2148,2468,3140,3,16
V1-06-P,3542.3426750000003,2135,2458,3132,3,14
V1-06-P,3542.814249,2134,2448,3104,3,14
V1-06-PCesc,0.0,2180,2398,2840,3,3
V1-06-PCesc,71.768435,2179,2408,2872,3,3
V1-06-PCesc,72.144487,2177,2416,2904,3,5
V1-06-PCesc,72.60422799999999,2176,2406,2876,3,5
V1-06-PCesc,73.10751,2174,2424,2940,3,8
V1-06-PCesc,73.631249,2173,2434,2972,3,8
V1-06-PCesc,74.067318,2171,2442,3000,3,8
V1-06-PCesc,74.49488500000001,2167,2436,2988,3,7
V1-06-PCesc,75.015454,2163,2416,2932,3,5
V1-06-PCesc,75.43704100000001,2162,2406,2904,3,5
V1-06-PCesc,139.87814,2159,2404,2900,3,3
V1-06-PCesc,140.32144,2156,2416,2948,3,6
V1-06-PCesc,140.79190599999998,2155,2416,2948,3,5
V1-06-PCesc,384.797793,2153,2430,3000,3,8
V1-07-P,0.0,2180,2398,2840,3,3
V1-07-P,134.669056,2178,2472,3076,3,8
V1-07-P,135.05440900000002,2175,2480,3108,3,9
V1-07-P,135.56655800000001,2171,2476,3104,3,9
V1-07-P,215.533062,2164,2412,2916,3,4
V1-07-P,216.011527,2162,2420,2944,3,4
V1-07-P,241.063131,2160,2418,2944,3,5
V1-07-P,327.749156,2157,2440,3020,3,7
V1-07-P,328.22491499999995,2153,2452,3072,3,11
V1-07-P,328.64615999999995,2150,2448,3064,3,10
V1-07-P,329.148633,2147,2460,3108,3,11
V1-07-P,1047.662245,2147,2436,3024,3,5
V1-07-P,1353.702013,2146,2444,3052,3,6
V1-07-P,2919.1598350000004,2135,2454,3108,3,8
V1-07-P,2919.649159,2135,2452,3104,3,9
V1-07-PCesc,0.0,2180,2398,2840,3,3
V1-07-PCesc,182.343668,2178,2472,3076,3,8
V1-07-PCesc,182.79945400000003,2175,2480,3108,3,9
V1-07-PCesc,183.21365600000001,2171,2476,3104,3,9
V1-07-PCesc,284.960094,2164,2412,2916,3,4
V1-07-PCesc,285.368727,2162,2420,2944,3,4
V1-07-PCesc,317.449528,2160,2418,2944,3,5
V1-07-PCesc,414.551678,2156,2416,2948,3,6
V1-07-PCesc,414.90808499999997,2155,2416,2948,3,5
V1-07-PCesc,522.8854,2154,2456,3076,3,8
V1-07-PCesc,523.365406,2152,2456,3080,3,8
V1-07-PCesc,523.822404,2150,2468,3124,3,10
V1-07-PCesc,2000.55605,2149,2436,3016,3,3
V1-07-PCesc,2146.105233,2148,2438,3024,3,3
V1-07-PCesc,2146.618689,2142,2436,3032,3,4
V1-07-PCesc,2147.0486769999998,2139,2430,3020,3,4
V1-07-PCesc,3075.503162,2136,2486,3208,3,11
V1-07-PCesc,3075.989243,2134,2482,3204,3,13
V1-07-PCesc,3076.43871,2129,2462,3152,3,12
V1-07-PCesc,3076.868341,2126,2474,3200,3,15
V3-claude_v01_c-0,0.0,2712,3570,5440,4,6
V3-claude_v01_c-0,1.1869310000000002,2706,3548,5380,4,6
V3-claude_v01_c-0,7.602282000000001,2692,3498,5256,4,5
V3-claude_v01_c-0,8.027714999999999,2675,3474,5212,4,5
V3-claude_v01_c-0,8.441713,2664,3456,5180,4,4
V3-claude_v01_c-0,8.831534000000001,2654,3446,5168,4,4
V3-claude_v01_c-0,9.215374,2645,3434,5148,4,4
V3-claude_v01_c-0,9.599204,2636,3424,5132,4,4
V3-claude_v01_c-0,9.957904999999998,2627,3418,5132,4,4
V3-claude_v01_c-0,10.321132,2615,3400,5108,4,4
V3-claude_v01_c-0,10.70999,2607,3384,5080,4,6
V3-claude_v01_c-0,11.176575,2599,3372,5064,4,6
V3-claude_v01_c-0,11.641997,2588,3360,5048,4,6
V3-claude_v01_c-0,12.141171,2580,3350,5028,4,6
V3-claude_v01_c-0,12.533483,2574,3340,5008,4,4
V3-claude_v01_c-0,12.971412,2565,3324,4972,4,4
V3-claude_v01_c-0,13.376531,2552,3314,4972,4,4
V3-claude_v01_c-0,13.823288,2545,3306,4960,4,4
V3-claude_v01_c-0,14.254432,2538,3306,4972,4,4
V3-claude_v01_c-0,14.644929000000001,2528,3302,4980,4,3
V3-claude_v01_c-0,15.052828,2522,3292,4956,4,4
V3-claude_v01_c-0,15.426589,2516,3284,4940,4,4
V3-claude_v01_c-0,15.824431,2509,3272,4912,4,3
V3-claude_v01_c-0,16.178544,2486,3242,4872,4,3
V3-claude_v01_c-0,16.567517,2482,3232,4852,4,3
V3-claude_v01_c-0,16.931483,2473,3214,4816,4,3
V3-claude_v01_c-0,17.298282,2471,3204,4784,4,2
V3-claude_v01_c-0,17.769334999999998,2468,3208,4800,4,2
V3-claude_v01_c-0,18.08848,2467,3218,4832,4,2
V3-claude_v01_c-0,46.102389,2464,3208,4824,4,4
V3-claude_v01_c-0,46.491647,2455,3190,4784,4,4
V3-claude_v01_c-0,46.825735,2449,3184,4776,4,4
V3-claude_v01_c-0,47.205436,2448,3182,4776,4,5
V3-claude_v01_c-0,47.591581,2444,3168,4748,4,5
V3-claude_v01_c-0,48.036861,2443,3152,4696,4,5
V3-claude_v01_c-0,48.495492000000006,2436,3136,4660,4,5
V3-claude_v01_c-0,48.924574,2432,3140,4688,4,6
V3-claude_v01_c-0,49.283516,2428,3134,4680,4,6
V3-claude_v01_c-0,65.51192400000001,2428,3098,4528,4,1
V3-claude_v01_c-0,65.868229,2421,3092,4528,4,1
V3-claude_v01_c-0,66.221887,2416,3080,4500,4,1
V3-claude_v01_c-0,66.53925799999999,2414,3064,4452,4,1
V3-claude_v01_c-0,66.899944,2411,3056,4436,4,1
V3-claude_v01_c-0,67.26894800000001,2410,3056,4436,4,1
V3-claude_v01_c-0,67.60790399999999,2410,3054,4428,4,1
V3-claude_v01_c-0,67.980268,2409,3054,4432,4,1
V3-claude_v01_c-0,68.287206,2392,3028,4388,4,1
V3-claude_v01_c-0,68.618635,2390,3032,4404,4,1
V3-claude_v01_c-0,69.010615,2385,3024,4388,4,1
V3-claude_v01_c-0,153.495055,2384,3072,4552,4,2
V3-claude_v01_c-0,153.833349,2379,3056,4512,4,2
V3-claude_v01_c-0,154.188341,2376,3046,4492,4,2
V3-claude_v01_c-0,154.519376,2375,3052,4516,4,3
V3-claude_v01_c-0,154.88835300000002,2373,3044,4488,4,3
V3-claude_v01_c-0,155.216067,2372,3034,4448,4,3
V3-claude_v01_c-0,155.553974,2370,3044,4488,4,3
V3-claude_v01_c-0,155.88243799999998,2367,3044,4504,4,4
V3-claude_v01_c-0,156.193963,2360,3030,4472,4,3
V3-claude_v01_c-0,156.534302,2360,3014,4420,4,2
V3-claude_v01_c-0,156.920186,2354,3016,4440,4,2
V3-claude_v01_c-0,157.241673,2347,3006,4424,4,2
V3-claude_v01_c-0,157.558304,2342,2998,4408,4,2
V3-claude_v01_c-0,504.343546,2329,2970,4332,4,3
V3-claude_v01_c-0,504.659549,2323,2978,4376,4,3
V3-claude_v01_c-0,505.016098,2319,2974,4372,4,3
V3-claude_v01_c-0,781.565644,2319,2972,4364,4,2
V3-claude_v01_c-0,781.863969,2318,2976,4376,4,2
V3-claude_v01_c-0,897.7414020000001,2318,2952,4320,4,1
V3-claude_v01_c-0,898.0913350000001,2318,2950,4316,4,1
V3-claude_v01_c-0,898.427042,2315,2958,4344,4,1
V3-claude_v01_c-0,956.311989,2312,2954,4344,5,1
V3-claude_v01_c-0,956.6256030000001,2311,2956,4352,5,1
V3-claude_v01_c-0,957.0101070000001,2310,2958,4360,5,1
V3-claude_v01_c-0,1104.236198,2307,2972,4420,5,1
V3-claude_v01_c-0,1104.6504750000001,2307,2964,4392,5,1
V3-claude_v01_c-0,1343.291195,2305,2936,4292,4,1
V3-claude_v01_c-0,1343.606228,2304,2934,4284,4,1
V3-claude_v01_c-0,1383.0313170000002,2300,2930,4284,4,3
V3-claude_v01_c-0,1486.4907249999999,2298,2938,4316,4,3
V3-claude_v01_c-0,1535.206529,2297,2928,4312,4,3
V3-claude_v01_c-0,1535.5603959999999,2295,2922,4296,4,3
V3-claude_v01_c-0,1535.899075,2292,2910,4264,4,2
V3-claude_v01_c-0,1536.242669,2290,2916,4292,4,2
V3-claude_v01_c-0,1536.57018,2288,2914,4292,4,2
V3-claude_v01_c-0,1536.95702,2288,2908,4272,4,2
V3-claude_v01_c-0,1601.65191,2287,2894,4204,4,1
V3-claude_v01_c-0,1675.714912,2285,2886,4208,4,2
V3-claude_v01_c-0,1930.497178,2284,2890,4224,4,2
V3-claude_v01_c-0,1930.810223,2283,2896,4240,4,2
V3-claude_v01_c-0,2036.635267,2280,2884,4200,4,1
V3-claude_v01_c-0,2036.968411,2279,2876,4176,4,1
V3-claude_v01_c-0,2037.2997779999998,2278,2880,4192,4,1
V3-claude_v01_c-0,2037.640698,2277,2888,4220,4,1
V3-claude_v01_c-0,2037.952555,2276,2878,4204,4,2
V3-claude_v01_c-0,2918.139714,2273,2884,4216,4,1
V3-claude_v01_c-0,2918.456509,2272,2878,4200,4,1
V3-claude_v01_c-0,3186.68914,2266,2866,4160,4,2
V3-claude_v01_c-0,3186.996205,2266,2860,4136,4,1
V3-claude_v01_c-0,4888.89167,2265,2862,4172,4,3
V3-claude_v01_c-0,5203.208989999999,2264,2866,4172,4,1
V3-claude_v01_c-0,5203.527467,2262,2866,4184,4,2
V3-claude_v01_c-1,0.0,2712,3570,5440,4,6
V3-claude_v01_c-1,1.752405,2705,3568,5452,4,5
V3-claude_v01_c-1,2.148555,2690,3554,5436,4,5
V3-claude_v01_c-1,2.557233,2677,3536,5420,4,6
V3-claude_v01_c-1,2.961235,2662,3518,5388,4,4
V3-claude_v01_c-1,3.455286,2648,3506,5376,4,4
V3-claude_v01_c-1,3.8935210000000002,2632,3482,5332,4,3
V3-claude_v01_c-1,4.378347,2610,3448,5268,4,3
V3-claude_v01_c-1,4.783402,2600,3438,5264,4,4
V3-claude_v01_c-1,5.178972,2592,3418,5204,4,3
V3-claude_v01_c-1,5.647920999999999,2580,3408,5196,4,3
V3-claude_v01_c-1,6.026517,2573,3400,5192,4,4
V3-claude_v01_c-1,6.466641,2565,3392,5180,4,3
V3-claude_v01_c-1,6.869824,2559,3388,5180,4,3
V3-claude_v01_c-1,7.2916110000000005,2555,3374,5144,4,3
V3-claude_v01_c-1,7.704502,2549,3362,5116,4,2
V3-claude_v01_c-1,8.125629,2541,3354,5108,4,2
V3-claude_v01_c-1,8.523339,2534,3340,5088,4,2
V3-claude_v01_c-1,8.942147,2528,3324,5044,4,2
V3-claude_v01_c-1,9.294618,2519,3306,5004,4,2
V3-claude_v01_c-1,9.699453,2513,3302,5004,4,2
V3-claude_v01_c-1,10.083775,2509,3290,4976,4,2
V3-claude_v01_c-1,10.491727999999998,2501,3288,4988,4,1
V3-claude_v01_c-1,10.855844999999999,2495,3278,4972,4,1
V3-claude_v01_c-1,11.245458,2490,3274,4968,3,63
V3-claude_v01_c-1,11.611671,2486,3256,4928,3,66
V3-claude_v01_c-1,11.988788,2479,3244,4912,4,1
V3-claude_v01_c-1,12.321738999999999,2474,3230,4876,4,1
V3-claude_v01_c-1,12.698952,2471,3226,4864,3,64
V3-claude_v01_c-1,13.06028,2467,3224,4864,3,63
V3-claude_v01_c-1,13.398057,2467,3218,4840,3,60
V3-claude_v01_c-1,13.825634,2462,3212,4828,3,58
V3-claude_v01_c-1,14.186838,2460,3214,4840,3,59
V3-claude_v01_c-1,14.555231000000001,2458,3218,4860,3,61
V3-claude_v01_c-1,29.311653999999997,2458,3192,4792,4,4
V3-claude_v01_c-1,29.680207,2454,3190,4792,4,3
V3-claude_v01_c-1,30.004108000000002,2454,3184,4776,4,3
V3-claude_v01_c-1,30.344849,2443,3164,4732,4,3
V3-claude_v01_c-1,30.706319,2435,3158,4724,4,2
V3-claude_v01_c-1,31.039601,2428,3142,4684,4,2
V3-claude_v01_c-1,31.416994,2421,3136,4680,4,2
V3-claude_v01_c-1,31.77495,2419,3140,4700,4,2
V3-claude_v01_c-1,32.130333,2419,3132,4676,4,2
V3-claude_v01_c-1,32.458722,2419,3126,4660,4,2
V3-claude_v01_c-1,32.825275999999995,2418,3130,4676,4,2
V3-claude_v01_c-1,33.13816,2414,3124,4672,4,2
V3-claude_v01_c-1,33.594047,2408,3118,4664,4,2
V3-claude_v01_c-1,33.932828,2407,3112,4648,4,2
V3-claude_v01_c-1,34.278475,2403,3114,4656,4,2
V3-claude_v01_c-1,34.589408,2403,3110,4640,4,2
V3-claude_v01_c-1,48.422044,2402,3144,4772,4,6
V3-claude_v01_c-1,48.871694,2399,3142,4768,4,6
V3-claude_v01_c-1,49.220173,2396,3136,4748,4,5
V3-claude_v01_c-1,170.16143799999998,2396,3060,4480,4,3
V3-claude_v01_c-1,295.905284,2395,3126,4732,4,6
V3-claude_v01_c-1,296.221794,2392,3120,4720,4,6
V3-claude_v01_c-1,296.621443,2382,3106,4696,4,6
V3-claude_v01_c-1,296.94647000000003,2374,3102,4704,4,7
V3-claude_v01_c-1,297.39527400000003,2372,3100,4704,4,7
V3-claude_v01_c-1,297.765717,2371,3102,4708,4,7
V3-claude_v01_c-1,430.173167,2368,3090,4668,4,6
V3-claude_v01_c-1,430.490349,2367,3092,4680,4,7
V3-claude_v01_c-1,430.81710599999997,2366,3100,4708,4,7
V3-claude_v01_c-1,431.167566,2365,3098,4700,4,7
V3-claude_v01_c-1,505.46090100000004,2364,3038,4504,4,3
V3-claude_v01_c-1,505.864145,2363,3040,4512,4,3
V3-claude_v01_c-1,530.905278,2362,3064,4588,4,2
V3-claude_v01_c-1,727.395369,2358,3032,4492,4,4
V3-claude_v01_c-1,727.80681,2353,3028,4484,4,3
V3-claude_v01_c-1,728.133833,2350,3018,4460,4,3
V3-claude_v01_c-1,728.45103,2345,3012,4448,4,3
V3-claude_v01_c-1,728.773699,2344,3008,4436,4,3
V3-claude_v01_c-1,1130.5778559999999,2343,2964,4296,4,1
V3-claude_v01_c-1,1130.938977,2341,2966,4308,4,1
V3-claude_v01_c-1,1131.325217,2340,2964,4304,4,1
V3-claude_v01_c-1,1131.754335,2337,2962,4312,4,2
V3-claude_v01_c-1,1132.1295460000001,2335,2952,4288,4,2
V3-claude_v01_c-1,1169.4216450000001,2334,2964,4316,4,1
V3-claude_v01_c-1,1169.7605250000001,2332,2954,4292,4,1
V3-claude_v01_c-1,1170.0941229999999,2325,2952,4304,4,1
V3-claude_v01_c-1,1170.4258980000002,2324,2952,4304,4,2
V3-claude_v01_c-1,1170.754863,2323,2952,4308,4,1
V3-claude_v01_c-1,1171.1023679999998,2319,2954,4328,4,2
V3-claude_v01_c-1,1171.4640920000002,2318,2960,4352,4,2
V3-claude_v01_c-1,1286.149389,2317,2958,4364,4,4
V3-claude_v01_c-1,1332.412824,2316,2956,4348,4,3
V3-claude_v01_c-1,1332.7282719999998,2316,2946,4316,4,3
V3-claude_v01_c-1,1333.088659,2315,2952,4336,4,3
V3-claude_v01_c-1,1333.4391170000001,2313,2954,4348,4,3
V3-claude_v01_c-1,1333.751828,2310,2952,4348,4,3
V3-claude_v01_c-1,1737.0454809999999,2306,2938,4316,4,3
V3-claude_v01_c-1,1737.372194,2305,2940,4324,4,3
V3-claude_v01_c-1,1737.7026290000001,2303,2940,4328,4,3
V3-claude_v01_c-1,1738.156005,2295,2910,4252,4,3
V3-claude_v01_c-1,1738.491024,2289,2908,4248,4,1
V3-claude_v01_c-1,1738.820919,2288,2902,4228,4,1
V3-claude_v01_c-1,1739.155682,2288,2894,4208,4,1
V3-claude_v01_c-1,2800.131261,2287,2918,4284,4,1
V3-claude_v01_c-1,2800.4628940000002,2285,2914,4276,4,1
V3-claude_v01_c-1,4173.286906,2283,2882,4192,4,1
V3-claude_v01_c-1,4173.624962,2280,2886,4204,4,1
V3-claude_v01_c-1,4208.387168,2277,2902,4256,4,1
V3-claude_v01_c-1,4208.700736,2275,2908,4280,4,1
V3-claude_v01_c-1,4209.010770999999,2274,2912,4300,4,1
V3-claude_v01_c-1,5437.219482,2273,2854,4120,4,4
V3-claude_v01_c-1,5437.609602,2272,2854,4124,4,4
V3-claude_v01_c-1,5744.721398,2268,2882,4220,4,2
V3-claude_v01_c-1,6984.224198,2267,2888,4244,4,2
V3-claude_v01_c-1,6984.542733,2266,2888,4248,4,2
V3-claude_v01_c-1,6984.864236,2265,2882,4224,4,2
V3-claude_v01_c-1,6985.183645,2259,2882,4252,4,3
V3-gen-lambda-03-0,0.0,2640,3432,5148,3,66
V3-gen-lambda-03-0,1.622728,2629,3414,5140,4,2
V3-gen-lambda-03-0,2.057156,2620,3410,5156,4,3
V3-gen-lambda-03-0,2.47982,2611,3400,5148,4,4
V3-gen-lambda-03-0,2.9021,2602,3398,5168,4,5
V3-gen-lambda-03-0,3.3722830000000004,2595,3394,5176,4,5
V3-gen-lambda-03-0,3.767685,2588,3392,5192,4,6
V3-gen-lambda-03-0,4.167568,2579,3376,5156,4,5
V3-gen-lambda-03-0,4.6293359999999995,2573,3374,5172,4,5
V3-gen-lambda-03-0,5.024716000000001,2564,3350,5112,4,5
V3-gen-lambda-03-0,5.46581,2554,3344,5120,4,6
V3-gen-lambda-03-0,5.987346,2547,3342,5140,4,7
V3-gen-lambda-03-0,6.427109,2542,3338,5136,4,8
V3-gen-lambda-03-0,6.85691,2537,3336,5144,4,9
V3-gen-lambda-03-0,7.268064,2533,3326,5128,4,10
V3-gen-lambda-03-0,7.6686250000000005,2529,3326,5140,4,11
V3-gen-lambda-03-0,8.113733,2526,3318,5116,4,10
V3-gen-lambda-03-0,8.516435000000001,2519,3308,5100,4,10
V3-gen-lambda-03-0,8.994575,2504,3288,5068,4,10
V3-gen-lambda-03-0,9.442857,2500,3282,5056,4,10
